"orderid","orderdate","region","store","category","subcategory","product","channel","unitssold","unitprice","discountpct","revenue","profit","returned","customersatisfaction","customerid","paymentmethod"
"ORD-0172","2025-11-01","East","S002","Furniture","Seating","Office Chair","Online",4,"199.50","0.05","758.10","265.34","No","4.8","CUST-1172","Debit Card"
"ORD-0173","2025-11-02","West","S004","Office Supplies","Paper","Notebook","Physical",30,"7.99","0.00","239.70","83.89","No","4.2","CUST-1173","Bank Transfer"
"ORD-0174","2025-11-02","North","S001","Electronics","Wearables","Smart Watch","Online",5,"149.99","0.10","674.96","134.99","No","4.6","CUST-1174","Cash"
"ORD-0175","2025-11-03","South","S003","Electronics","Audio","Wireless Headphones","Physical",6,"89.99","0.15","458.95","91.79","Yes","2.3","CUST-1175","Mobile Payment"
"ORD-0176","2025-11-03","East","S006","Furniture","Desks","Desk","Physical",2,"349.50","0.00","699.00","244.65","No","4.9","CUST-1176","Credit Card"
"ORD-0177","2025-11-04","West","S002","Electronics","Accessories","Smartphone Accessories","Online",12,"29.99","0.20","287.90","86.37","No","4.1","CUST-1177","Debit Card"
"ORD-0178","2025-11-04","North","S004","Furniture","Shelving","Bookshelf","Physical",3,"179.99","0.00","539.97","188.99","No","4.7","CUST-1178","Bank Transfer"
"ORD-0179","2025-11-05","South","S003","Office Supplies","Writing","Pen Set","Online",20,"8.99","0.00","179.80","62.93","No","4.0","CUST-1179","Cash"
"ORD-0180","2025-11-05","East","S001","Electronics","Audio","Bluetooth Speaker","Physical",5,"59.99","0.05","284.95","71.24","No","4.4","CUST-1180","Mobile Payment"
"ORD-0181","2025-11-06","North","S005","Electronics","Audio","Wireless Headphones","Online",4,"89.99","0.10","323.96","80.99","No","4.5","CUST-1181","Credit Card"
"ORD-0182","2025-11-06","South","S004","Electronics","Wearables","Smart Watch","Physical",2,"149.99","0.20","239.98","47.99","Yes","2.4","CUST-1182","Debit Card"
"ORD-0183","2025-11-07","East","S002","Office Supplies","Storage","File Folder","Physical",40,"3.99","0.00","159.60","55.86","No","4.2","CUST-1183","Bank Transfer"
"ORD-0184","2025-11-07","West","S006","Furniture","Storage","Storage Cabinet","Online",2,"249.99","0.00","499.98","174.99","No","4.6","CUST-1184","Cash"
"ORD-0185","2025-11-08","North","S001","Electronics","Audio","Bluetooth Speaker","Physical",7,"59.99","0.00","419.93","104.98","No","4.3","CUST-1185","Mobile Payment"
"ORD-0186","2025-11-08","South","S003","Furniture","Seating","Office Chair","Online",3,"199.50","0.00","598.50","209.48","No","3.9","CUST-1186","Credit Card"
"ORD-0187","2025-11-09","East","S004","Electronics","Accessories","Smartphone Accessories","Physical",11,"29.99","0.15","280.39","84.12","No","4.0","CUST-1187","Debit Card"
"ORD-0188","2025-11-09","West","S002","Electronics","Wearables","Smart Watch","Online",3,"149.99","0.10","404.97","80.99","No","4.5","CUST-1188","Bank Transfer"
"ORD-0189","2025-11-10","North","S005","Office Supplies","Paper","Printer Paper","Physical",35,"12.50","0.00","437.50","153.13","No","4.1","CUST-1189","Cash"
"ORD-0190","2025-11-10","South","S004","Electronics","Audio","Wireless Headphones","Online",5,"89.99","0.20","359.96","71.99","Yes","2.0","CUST-1190","Mobile Payment"
"ORD-0191","2025-12-01","North","S005","Electronics","Audio","Wireless Headphones","Physical",8,"89.99","0.00","719.92","179.98","No","4.6","CUST-1191","Credit Card"
"ORD-0192","2025-12-01","East","S002","Furniture","Desks","Desk","Online",3,"349.50","0.05","996.08","348.63","No","4.9","CUST-1192","Debit Card"
"ORD-0193","2025-12-02","West","S004","Office Supplies","Writing","Pen Set","Physical",25,"8.99","0.00","224.75","78.66","No","4.4","CUST-1193","Bank Transfer"
"ORD-0194","2025-12-02","North","S001","Electronics","Wearables","Smart Watch","Online",6,"149.99","0.10","809.95","161.99","No","4.7","CUST-1194","Cash"
"ORD-0195","2025-12-03","South","S003","Electronics","Audio","Bluetooth Speaker","Physical",9,"59.99","0.15","458.92","91.78","Yes","2.2","CUST-1195","Mobile Payment"
"ORD-0196","2025-12-03","East","S006","Furniture","Shelving","Bookshelf","Physical",3,"179.99","0.00","539.97","188.99","No","4.8","CUST-1196","Credit Card"
"ORD-0197","2025-12-04","West","S002","Electronics","Accessories","Smartphone Accessories","Online",15,"29.99","0.10","404.87","121.46","No","4.2","CUST-1197","Debit Card"
"ORD-0198","2025-12-04","North","S004","Furniture","Storage","Storage Cabinet","Physical",2,"249.99","0.00","499.98","174.99","No","4.5","CUST-1198","Bank Transfer"
"ORD-0199","2025-12-05","South","S003","Office Supplies","Paper","Notebook","Online",28,"7.99","0.00","223.72","78.30","No","4.0","CUST-1199","Cash"
"ORD-0200","2025-12-05","East","S001","Electronics","Audio","Wireless Headphones","Physical",5,"89.99","0.05","427.45","106.86","No","4.5","CUST-1200","Mobile Payment"
"ORD-0202","2025-02-20","East","S005","Office Supplies","Paper","Printer Paper","Physical",15,"12.50","0.00","187.50","65.62","No","4.0","CUST-1201","Bank Transfer"
"ORD-0203","2025-03-25","West","S003","Electronics","Audio","Bluetooth Speaker","Online",4,"59.99","0.10","215.96","53.99","No","4.3","CUST-1202","Cash"
"ORD-0204","2025-04-10","North","S006","Furniture","Seating","Office Chair","Physical",2,"199.50","0.00","399.00","139.65","No","4.7","CUST-1203","Debit Card"
"ORD-0205","2025-05-05","South","S004","Electronics","Wearables","Smart Watch","Online",3,"149.99","0.15","382.47","76.49","Yes","2.6","CUST-1204","Mobile Payment"
"ORD-0206","2025-06-12","East","S002","Office Supplies","Writing","Pen Set","Physical",12,"8.99","0.05","102.49","35.87","No","4.1","CUST-1205","Credit Card"
"ORD-0207","2025-07-18","West","S005","Furniture","Shelving","Bookshelf","Online",2,"179.99","0.00","359.98","125.99","No","4.6","CUST-1206","Bank Transfer"
"ORD-0208","2025-08-22","North","S001","Electronics","Accessories","Smartphone Accessories","Physical",7,"29.99","0.00","209.93","62.98","No","4.2","CUST-1207","Cash"
"ORD-0209","2025-09-14","South","S003","Electronics","Audio","Wireless Headphones","Online",4,"89.99","0.20","287.97","57.59","Yes","2.3","CUST-1208","Debit Card"
"ORD-0210","2025-10-28","East","S006","Furniture","Desks","Desk","Physical",1,"349.50","0.00","349.50","122.32","No","4.8","CUST-1209","Mobile Payment"
"ORD-0211","2025-11-15","West","S004","Office Supplies","Paper","Notebook","Online",20,"7.99","0.00","159.80","55.93","No","4.3","CUST-1210","Credit Card"
"ORD-0212","2025-12-20","North","S002","Electronics","Audio","Bluetooth Speaker","Physical",6,"59.99","0.05","341.94","85.49","No","4.4","CUST-1211","Bank Transfer"
"ORD-0213","2025-01-25","South","S003","Furniture","Storage","Storage Cabinet","Online",2,"249.99","0.10","449.98","157.49","No","4.5","CUST-1212","Cash"
"ORD-0214","2025-02-28","East","S001","Electronics","Wearables","Smart Watch","Physical",2,"149.99","0.00","299.98","59.99","No","4.6","CUST-1213","Debit Card"
"ORD-0215","2025-03-30","West","S005","Office Supplies","Storage","File Folder","Online",35,"3.99","0.00","139.65","48.88","No","4.1","CUST-1214","Mobile Payment"
"ORD-0216","2025-04-25","North","S004","Electronics","Audio","Wireless Headphones","Physical",3,"89.99","0.10","242.97","60.74","No","4.5","CUST-1215","Credit Card"
"ORD-0217","2025-05-28","South","S002","Furniture","Seating","Office Chair","Online",2,"199.50","0.00","399.00","139.65","No","3.5","CUST-1216","Bank Transfer"
"ORD-0218","2025-06-30","East","S006","Electronics","Accessories","Smartphone Accessories","Physical",8,"29.99","0.20","191.94","57.58","No","4.0","CUST-1217","Cash"
"ORD-0219","2025-07-29","West","S003","Office Supplies","Writing","Pen Set","Online",14,"8.99","0.00","125.86","44.05","No","4.2","CUST-1218","Debit Card"
"ORD-0220","2025-08-31","North","S001","Furniture","Shelving","Bookshelf","Physical",2,"179.99","0.00","359.98","125.99","No","4.7","CUST-1219","Mobile Payment"
"ORD-0221","2025-09-25","South","S004","Electronics","Audio","Bluetooth Speaker","Online",5,"59.99","0.25","224.96","56.24","Yes","2.1","CUST-1220","Credit Card"
"ORD-0222","2025-10-30","East","S005","Office Supplies","Paper","Printer Paper","Physical",20,"12.50","0.00","250.00","87.50","No","4.4","CUST-1221","Bank Transfer"
"ORD-0223","2025-11-28","West","S002","Electronics","Wearables","Smart Watch","Online",3,"149.99","0.10","404.97","80.99","No","4.5","CUST-1222","Cash"
"ORD-0224","2025-12-25","North","S006","Furniture","Desks","Desk","Physical",2,"349.50","0.05","664.05","232.42","No","4.9","CUST-1223","Debit Card"
"ORD-0225","2025-01-30","South","S003","Electronics","Accessories","Smartphone Accessories","Online",9,"29.99","0.15","229.42","68.83","No","3.8","CUST-1224","Mobile Payment"
"ORD-0226","2025-02-26","East","S001","Office Supplies","Writing","Notebook","Physical",18,"7.99","0.00","143.82","50.34","No","4.3","CUST-1225","Credit Card"
"ORD-0227","2025-03-28","West","S004","Furniture","Storage","Storage Cabinet","Online",1,"249.99","0.00","249.99","87.50","No","4.6","CUST-1226","Bank Transfer"
"ORD-0228","2025-04-30","North","S005","Electronics","Audio","Wireless Headphones","Physical",4,"89.99","0.05","341.96","85.49","No","4.5","CUST-1227","Cash"
"ORD-0229","2025-05-27","South","S003","Furniture","Seating","Office Chair","Online",3,"199.50","0.10","538.65","188.53","No","3.2","CUST-1228","Debit Card"
"ORD-0230","2025-06-29","East","S002","Office Supplies","Paper","Printer Paper","Physical",25,"12.50","0.00","312.50","109.38","No","4.2","CUST-1229","Mobile Payment"
"ORD-0231","2025-07-31","West","S006","Electronics","Wearables","Smart Watch","Online",4,"149.99","0.05","569.96","113.99","No","4.4","CUST-1230","Credit Card"
"ORD-0232","2025-08-29","North","S001","Furniture","Shelving","Bookshelf","Physical",3,"179.99","0.00","539.97","188.99","No","4.7","CUST-1231","Bank Transfer"
"ORD-0233","2025-09-28","South","S004","Electronics","Audio","Bluetooth Speaker","Online",7,"59.99","0.20","335.94","67.19","Yes","2.4","CUST-1232","Cash"
"ORD-0234","2025-10-31","East","S005","Office Supplies","Storage","File Folder","Physical",30,"3.99","0.00","119.70","41.89","No","4.0","CUST-1233","Debit Card"
"ORD-0235","2025-11-29","West","S002","Furniture","Desks","Desk","Online",2,"349.50","0.00","699.00","244.65","No","4.8","CUST-1234","Mobile Payment"
"ORD-0236","2025-12-31","North","S006","Electronics","Accessories","Smartphone Accessories","Physical",10,"29.99","0.10","269.91","80.97","No","4.3","CUST-1235","Credit Card"
"ORD-0237","2025-01-29","South","S003","Electronics","Audio","Wireless Headphones","Online",3,"89.99","0.15","229.47","45.89","Yes","2.9","CUST-1236","Bank Transfer"
"ORD-0238","2025-02-27","East","S001","Office Supplies","Writing","Pen Set","Physical",16,"8.99","0.00","143.84","50.34","No","4.1","CUST-1237","Cash"
"ORD-0239","2025-03-31","West","S004","Furniture","Seating","Office Chair","Online",2,"199.50","0.05","379.05","132.67","No","4.6","CUST-1238","Debit Card"
"ORD-0240","2025-04-28","North","S005","Electronics","Wearables","Smart Watch","Physical",2,"149.99","0.00","299.98","59.99","No","4.5","CUST-1239","Mobile Payment"
"ORD-0241","2025-05-30","South","S002","Office Supplies","Paper","Notebook","Online",15,"7.99","0.00","119.85","41.95","No","3.6","CUST-1240","Credit Card"
"ORD-0242","2025-06-28","East","S006","Electronics","Audio","Bluetooth Speaker","Physical",6,"59.99","0.10","323.94","80.99","No","4.2","CUST-1241","Bank Transfer"
"ORD-0243","2025-07-30","West","S003","Furniture","Shelving","Bookshelf","Online",2,"179.99","0.00","359.98","125.99","No","4.7","CUST-1242","Cash"
"ORD-0244","2025-08-28","North","S001","Office Supplies","Storage","File Folder","Physical",22,"3.99","0.00","87.78","30.72","No","4.3","CUST-1243","Debit Card"
"ORD-0245","2025-09-27","South","S004","Electronics","Accessories","Smartphone Accessories","Online",8,"29.99","0.20","191.94","57.58","Yes","2.5","CUST-1244","Mobile Payment"
"ORD-0246","2025-10-29","East","S005","Furniture","Storage","Storage Cabinet","Physical",1,"249.99","0.00","249.99","87.50","No","4.9","CUST-1245","Credit Card"
"ORD-0247","2025-11-27","West","S002","Electronics","Audio","Wireless Headphones","Online",5,"89.99","0.05","427.45","106.86","No","4.4","CUST-1246","Bank Transfer"
"ORD-0248","2025-12-29","North","S006","Office Supplies","Writing","Pen Set","Physical",20,"8.99","0.00","179.80","62.93","No","4.1","CUST-1247","Cash"
"ORD-0249","2025-01-28","South","S003","Furniture","Desks","Desk","Online",1,"349.50","0.10","314.55","110.09","No","3.9","CUST-1248","Debit Card"
"ORD-0250","2025-02-24","East","S001","Electronics","Wearables","Smart Watch","Physical",3,"149.99","0.00","449.97","89.99","No","4.6","CUST-1249","Mobile Payment"
"ORD-0251","2025-03-27","West","S004","Office Supplies","Paper","Printer Paper","Online",30,"12.50","0.00","375.00","131.25","No","4.2","CUST-1250","Credit Card"
"ORD-0252","2025-04-26","North","S005","Furniture","Seating","Office Chair","Physical",4,"199.50","0.05","758.10","265.34","No","4.8","CUST-1251","Bank Transfer"
"ORD-0253","2025-05-26","South","S002","Electronics","Audio","Bluetooth Speaker","Online",6,"59.99","0.15","305.94","61.19","Yes","2.7","CUST-1252","Cash"
"ORD-0254","2025-06-25","East","S006","Office Supplies","Writing","Notebook","Physical",25,"7.99","0.00","199.75","69.91","No","4.0","CUST-1253","Debit Card"
"ORD-0255","2025-07-25","West","S003","Electronics","Accessories","Smartphone Accessories","Online",9,"29.99","0.10","242.92","72.87","No","4.1","CUST-1254","Mobile Payment"
"ORD-0256","2025-08-24","North","S001","Furniture","Shelving","Bookshelf","Physical",2,"179.99","0.00","359.98","125.99","No","4.7","CUST-1255","Credit Card"
"ORD-0257","2025-09-23","South","S004","Electronics","Audio","Wireless Headphones","Online",4,"89.99","0.25","269.97","53.99","Yes","2.2","CUST-1256","Bank Transfer"
"ORD-0258","2025-10-24","East","S005","Office Supplies","Storage","File Folder","Physical",18,"3.99","0.00","71.82","25.14","No","4.3","CUST-1257","Cash"
"ORD-0259","2025-11-22","West","S002","Furniture","Desks","Desk","Online",2,"349.50","0.00","699.00","244.65","No","4.9","CUST-1258","Debit Card"
"ORD-0260","2025-12-24","North","S006","Electronics","Wearables","Smart Watch","Physical",5,"149.99","0.00","749.95","149.99","No","4.6","CUST-1259","Mobile Payment"
"ORD-0261","2025-01-22","South","S003","Electronics","Audio","Bluetooth Speaker","Online",5,"59.99","0.20","239.96","47.99","Yes","2.8","CUST-1260","Credit Card"
"ORD-0262","2025-02-21","East","S001","Office Supplies","Paper","Printer Paper","Physical",18,"12.50","0.00","225.00","78.75","No","4.1","CUST-1261","Bank Transfer"
"ORD-0263","2025-03-23","West","S004","Furniture","Storage","Storage Cabinet","Online",1,"249.99","0.00","249.99","87.50","No","4.5","CUST-1262","Cash"
"ORD-0264","2025-04-22","North","S005","Electronics","Audio","Wireless Headphones","Physical",3,"89.99","0.05","256.47","64.12","No","4.4","CUST-1263","Debit Card"
"ORD-0265","2025-05-23","South","S002","Office Supplies","Writing","Pen Set","Online",12,"8.99","0.00","107.88","37.76","No","3.7","CUST-1264","Mobile Payment"
"ORD-0266","2025-06-22","East","S006","Furniture","Seating","Office Chair","Physical",3,"199.50","0.00","598.50","209.48","No","4.7","CUST-1265","Credit Card"
"ORD-0267","2025-07-23","West","S003","Electronics","Wearables","Smart Watch","Online",2,"149.99","0.10","269.98","53.99","No","4.3","CUST-1266","Bank Transfer"
"ORD-0268","2025-08-22","North","S001","Office Supplies","Paper","Notebook","Physical",16,"7.99","0.00","127.84","44.74","No","4.2","CUST-1267","Cash"
"ORD-0269","2025-09-21","South","S004","Electronics","Accessories","Smartphone Accessories","Online",7,"29.99","0.20","167.94","50.38","Yes","2.6","CUST-1268","Debit Card"
"ORD-0270","2025-10-22","East","S005","Furniture","Shelving","Bookshelf","Physical",2,"179.99","0.00","359.98","125.99","No","4.8","CUST-1269","Mobile Payment"
"ORD-0271","2025-11-21","West","S002","Electronics","Audio","Bluetooth Speaker","Online",6,"59.99","0.05","341.94","85.49","No","4.2","CUST-1270","Credit Card"
"ORD-0272","2025-12-23","North","S006","Office Supplies","Storage","File Folder","Physical",30,"3.99","0.00","119.70","41.89","No","4.0","CUST-1271","Bank Transfer"
"ORD-0273","2025-01-20","South","S003","Furniture","Desks","Desk","Online",1,"349.50","0.00","349.50","122.32","No","3.5","CUST-1272","Cash"
"ORD-0274","2025-02-19","East","S001","Electronics","Audio","Wireless Headphones","Physical",4,"89.99","0.10","323.96","80.99","No","4.5","CUST-1273","Debit Card"
"ORD-0275","2025-03-20","West","S004","Office Supplies","Writing","Pen Set","Online",15,"8.99","0.00","134.85","47.20","No","4.3","CUST-1274","Mobile Payment"
"ORD-0276","2025-04-19","North","S005","Furniture","Storage","Storage Cabinet","Physical",2,"249.99","0.00","499.98","174.99","No","4.6","CUST-1275","Credit Card"
"ORD-0277","2025-05-20","South","S002","Electronics","Wearables","Smart Watch","Online",3,"149.99","0.15","382.47","76.49","Yes","2.9","CUST-1276","Bank Transfer"
"ORD-0278","2025-06-19","East","S006","Office Supplies","Paper","Printer Paper","Physical",22,"12.50","0.00","275.00","96.25","No","4.1","CUST-1277","Cash"
"ORD-0279","2025-07-20","West","S003","Furniture","Seating","Office Chair","Online",2,"199.50","0.00","399.00","139.65","No","4.7","CUST-1278","Debit Card"
"ORD-0280","2025-08-19","North","S001","Electronics","Accessories","Smartphone Accessories","Physical",8,"29.99","0.10","215.93","64.78","No","4.2","CUST-1279","Mobile Payment"
"ORD-0281","2025-09-18","South","S004","Electronics","Audio","Bluetooth Speaker","Online",6,"59.99","0.20","287.95","57.59","Yes","2.3","CUST-1280","Credit Card"
"ORD-0282","2025-10-19","East","S005","Furniture","Shelving","Bookshelf","Physical",3,"179.99","0.00","539.97","188.99","No","4.8","CUST-1281","Bank Transfer"
"ORD-0283","2025-11-18","West","S002","Office Supplies","Writing","Notebook","Online",18,"7.99","0.00","143.82","50.34","No","4.4","CUST-1282","Cash"
"ORD-0284","2025-12-20","North","S006","Electronics","Audio","Wireless Headphones","Physical",5,"89.99","0.05","427.45","106.86","No","4.5","CUST-1283","Debit Card"
"ORD-0285","2025-01-18","South","S003","Furniture","Shelving","Bookshelf","Online",2,"179.99","0.00","359.98","125.99","No","3.8","CUST-1284","Mobile Payment"
"ORD-0286","2025-02-17","East","S001","Office Supplies","Storage","File Folder","Physical",25,"3.99","0.00","99.75","34.91","No","4.0","CUST-1285","Credit Card"
"ORD-0287","2025-03-18","West","S004","Electronics","Wearables","Smart Watch","Online",3,"149.99","0.05","427.47","85.49","No","4.6","CUST-1286","Bank Transfer"
"ORD-0288","2025-04-17","North","S005","Furniture","Desks","Desk","Physical",2,"349.50","0.00","699.00","244.65","No","4.9","CUST-1287","Cash"
"ORD-0289","2025-05-18","South","S002","Electronics","Audio","Wireless Headphones","Online",4,"89.99","0.20","287.97","57.59","Yes","2.7","CUST-1288","Debit Card"
"ORD-0290","2025-06-17","East","S006","Office Supplies","Paper","Notebook","Physical",20,"7.99","0.00","159.80","55.93","No","4.3","CUST-1289","Mobile Payment"
"ORD-0291","2025-07-18","West","S003","Furniture","Storage","Storage Cabinet","Online",1,"249.99","0.00","249.99","87.50","No","4.5","CUST-1290","Credit Card"
"ORD-0292","2025-08-17","North","S001","Electronics","Audio","Bluetooth Speaker","Physical",7,"59.99","0.10","377.94","94.48","No","4.4","CUST-1291","Bank Transfer"
"ORD-0293","2025-09-16","South","S004","Electronics","Accessories","Smartphone Accessories","Online",9,"29.99","0.15","229.42","68.83","Yes","2.4","CUST-1292","Cash"
"ORD-0294","2025-10-17","East","S005","Office Supplies","Writing","Pen Set","Physical",14,"8.99","0.00","125.86","44.05","No","4.2","CUST-1293","Debit Card"
"ORD-0295","2025-11-16","West","S002","Furniture","Seating","Office Chair","Online",3,"199.50","0.00","598.50","209.48","No","4.7","CUST-1294","Mobile Payment"
"ORD-0296","2025-12-18","North","S006","Office Supplies","Paper","Printer Paper","Physical",35,"12.50","0.00","437.50","153.13","No","4.1","CUST-1295","Credit Card"
"ORD-0297","2025-01-16","South","S003","Electronics","Audio","Wireless Headphones","Online",3,"89.99","0.20","215.98","43.19","Yes","2.6","CUST-1296","Bank Transfer"
"ORD-0298","2025-02-15","East","S001","Furniture","Shelving","Bookshelf","Physical",2,"179.99","0.00","359.98","125.99","No","4.6","CUST-1297","Cash"
"ORD-0299","2025-03-16","West","S004","Office Supplies","Storage","File Folder","Online",28,"3.99","0.00","111.72","39.10","No","4.0","CUST-1298","Debit Card"
"ORD-0300","2025-04-15","North","S005","Electronics","Wearables","Smart Watch","Physical",4,"149.99","0.10","539.96","107.99","No","4.5","CUST-1299","Mobile Payment"
"ORD-0301","2025-05-16","South","S002","Furniture","Desks","Desk","Online",1,"349.50","0.00","349.50","122.32","No","3.4","CUST-1300","Credit Card"
"ORD-0302","2025-06-15","East","S006","Electronics","Accessories","Smartphone Accessories","Physical",6,"29.99","0.05","170.94","51.28","No","4.1","CUST-1301","Bank Transfer"
"ORD-0303","2025-07-16","West","S003","Office Supplies","Writing","Notebook","Online",15,"7.99","0.00","119.85","41.95","No","4.3","CUST-1302","Cash"
"ORD-0304","2025-08-15","North","S001","Furniture","Seating","Office Chair","Physical",3,"199.50","0.00","598.50","209.48","No","4.8","CUST-1303","Debit Card"
"ORD-0305","2025-09-14","South","S004","Electronics","Audio","Bluetooth Speaker","Online",5,"59.99","0.25","224.96","56.24","Yes","2.0","CUST-1304","Mobile Payment"
"ORD-0306","2025-10-15","East","S005","Office Supplies","Paper","Printer Paper","Physical",16,"12.50","0.00","200.00","70.00","No","4.2","CUST-1305","Credit Card"
"ORD-0307","2025-11-14","West","S002","Furniture","Storage","Storage Cabinet","Online",2,"249.99","0.00","499.98","174.99","No","4.6","CUST-1306","Bank Transfer"
"ORD-0308","2025-12-16","North","S006","Electronics","Audio","Wireless Headphones","Physical",4,"89.99","0.00","359.96","89.99","No","4.5","CUST-1307","Cash"
"ORD-0309","2025-01-14","South","S003","Electronics","Wearables","Smart Watch","Online",2,"149.99","0.15","254.98","50.99","Yes","2.9","CUST-1308","Debit Card"
"ORD-0310","2025-02-13","East","S001","Office Supplies","Writing","Pen Set","Physical",10,"8.99","0.00","89.90","31.46","No","4.4","CUST-1309","Mobile Payment"
"ORD-0311","2025-03-14","West","S004","Furniture","Shelving","Bookshelf","Online",2,"179.99","0.00","359.98","125.99","No","4.7","CUST-1310","Credit Card"
"ORD-0312","2025-04-13","North","S005","Electronics","Audio","Bluetooth Speaker","Physical",8,"59.99","0.05","455.92","113.98","No","4.3","CUST-1311","Bank Transfer"
"ORD-0313","2025-05-14","South","S002","Office Supplies","Paper","Notebook","Online",20,"7.99","0.00","159.80","55.93","No","3.6","CUST-1312","Cash"
"ORD-0314","2025-06-13","East","S006","Furniture","Desks","Desk","Physical",2,"349.50","0.00","699.00","244.65","No","4.9","CUST-1313","Debit Card"
"ORD-0315","2025-07-14","West","S003","Electronics","Accessories","Smartphone Accessories","Online",7,"29.99","0.20","167.94","50.38","No","4.0","CUST-1314","Mobile Payment"
"ORD-0316","2025-08-13","North","S001","Office Supplies","Storage","File Folder","Physical",32,"3.99","0.00","127.68","44.69","No","4.1","CUST-1315","Credit Card"
"ORD-0317","2025-09-12","South","S004","Electronics","Audio","Wireless Headphones","Online",6,"89.99","0.30","377.96","75.59","Yes","1.8","CUST-1316","Bank Transfer"
"ORD-0318","2025-10-13","East","S005","Furniture","Seating","Office Chair","Physical",2,"199.50","0.00","399.00","139.65","No","4.7","CUST-1317","Cash"
"ORD-0319","2025-11-12","West","S002","Office Supplies","Writing","Pen Set","Online",12,"8.99","0.00","107.88","37.76","No","4.3","CUST-1318","Debit Card"
"ORD-0320","2025-12-14","North","S006","Electronics","Wearables","Smart Watch","Physical",3,"149.99","0.05","427.47","85.49","No","4.6","CUST-1319","Mobile Payment"
"ORD-0321","2025-01-12","South","S003","Furniture","Storage","Storage Cabinet","Online",1,"249.99","0.00","249.99","87.50","No","3.7","CUST-1320","Credit Card"
"ORD-0322","2025-02-11","East","S001","Electronics","Audio","Bluetooth Speaker","Physical",5,"59.99","0.10","269.96","67.49","No","4.2","CUST-1321","Bank Transfer"
"ORD-0323","2025-03-12","West","S004","Office Supplies","Paper","Printer Paper","Online",25,"12.50","0.00","312.50","109.38","No","4.0","CUST-1322","Cash"
"ORD-0324","2025-04-11","North","S005","Furniture","Shelving","Bookshelf","Physical",3,"179.99","0.00","539.97","188.99","No","4.8","CUST-1323","Debit Card"
"ORD-0325","2025-05-12","South","S002","Electronics","Wearables","Smart Watch","Online",3,"149.99","0.20","359.98","71.99","Yes","2.5","CUST-1324","Mobile Payment"
"ORD-0326","2025-06-11","East","S006","Office Supplies","Writing","Notebook","Physical",18,"7.99","0.00","143.82","50.34","No","4.3","CUST-1325","Credit Card"
"ORD-0327","2025-07-12","West","S003","Furniture","Desks","Desk","Online",2,"349.50","0.00","699.00","244.65","No","4.6","CUST-1326","Bank Transfer"
"ORD-0328","2025-08-11","North","S001","Electronics","Accessories","Smartphone Accessories","Physical",10,"29.99","0.10","269.91","80.97","No","4.1","CUST-1327","Cash"
"ORD-0329","2025-09-10","South","S004","Electronics","Audio","Wireless Headphones","Online",4,"89.99","0.20","287.97","57.59","Yes","2.3","CUST-1328","Debit Card"
"ORD-0330","2025-10-11","East","S005","Office Supplies","Storage","File Folder","Physical",20,"3.99","0.00","79.80","27.93","No","4.0","CUST-1329","Mobile Payment"
"ORD-0331","2025-11-10","West","S002","Furniture","Seating","Office Chair","Online",3,"199.50","0.00","598.50","209.48","No","4.7","CUST-1330","Credit Card"
"ORD-0332","2025-12-12","North","S006","Electronics","Audio","Bluetooth Speaker","Physical",6,"59.99","0.00","359.94","89.98","No","4.4","CUST-1331","Bank Transfer"
"ORD-0333","2025-01-10","South","S003","Office Supplies","Paper","Notebook","Online",22,"7.99","0.00","175.78","61.52","No","3.9","CUST-1332","Cash"
"ORD-0334","2025-02-09","East","S001","Electronics","Wearables","Smart Watch","Physical",2,"149.99","0.00","299.98","59.99","No","4.5","CUST-1333","Debit Card"
"ORD-0335","2025-03-10","West","S004","Furniture","Storage","Storage Cabinet","Online",1,"249.99","0.00","249.99","87.50","No","4.6","CUST-1334","Mobile Payment"
"ORD-0336","2025-04-09","North","S005","Office Supplies","Writing","Pen Set","Physical",15,"8.99","0.00","134.85","47.20","No","4.2","CUST-1335","Credit Card"
"ORD-0337","2025-05-10","South","S002","Electronics","Audio","Wireless Headphones","Online",5,"89.99","0.25","337.46","67.49","Yes","2.4","CUST-1336","Bank Transfer"
"ORD-0338","2025-06-09","East","S006","Furniture","Shelving","Bookshelf","Physical",2,"179.99","0.00","359.98","125.99","No","4.8","CUST-1337","Cash"
"ORD-0339","2025-07-10","West","S003","Electronics","Accessories","Smartphone Accessories","Online",8,"29.99","0.15","203.93","61.18","No","4.0","CUST-1338","Debit Card"
"ORD-0340","2025-08-09","North","S001","Office Supplies","Paper","Printer Paper","Physical",30,"12.50","0.00","375.00","131.25","No","4.1","CUST-1339","Mobile Payment"
"ORD-0341","2025-09-08","South","S004","Electronics","Audio","Bluetooth Speaker","Online",7,"59.99","0.20","335.94","67.19","Yes","2.1","CUST-1340","Credit Card"
"ORD-0342","2025-10-09","East","S005","Furniture","Desks","Desk","Physical",1,"349.50","0.00","349.50","122.32","No","4.9","CUST-1341","Bank Transfer"
"ORD-0343","2025-11-08","West","S002","Office Supplies","Storage","File Folder","Online",35,"3.99","0.00","139.65","48.88","No","4.2","CUST-1342","Cash"
"ORD-0344","2025-12-10","North","S006","Electronics","Wearables","Smart Watch","Physical",4,"149.99","0.00","599.96","119.99","No","4.6","CUST-1343","Debit Card"
"ORD-0345","2025-01-08","South","S003","Furniture","Seating","Office Chair","Online",2,"199.50","0.10","359.10","125.68","No","3.6","CUST-1344","Mobile Payment"
